1;Cardiopatías Congénitas Operables;CCO Otras. Control desde alta por Cirugía;0109001
2;Cardiopatías Congénitas Operables;CCO Grave. Control desde el alta por cirugía;0109001
3;Infarto Agudo del Miocardio;Prevención Secundaria IAM;0109001
4;Diabetes Mellitus Tipo 1;Atención por Especialista x Sospecha;0109001
5;Diabetes Mellitus Tipo 2;Atención por Especialista;0109001
6;Hipertensión Arterial;Atención Especialista;0109001
7;Marcapaso;Seguimiento;0109001
8;Enfermedad Pulmonar Obstructiva Crónica;Atención Especialista;0109001
9;Asma Bronquial 15 Años y Más;Atención con Especialista;0109001
10;Displasia Broncopulmonar del Prematuro;Seguimiento;0109001
